company,adress,GST_no
PERNIAGAAN ZHENG HUI,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81750 JOHOR BAHRU,000800689824
UROKO JAPANESE CUISINE SDN BHD,"22A-1, JALAN 17/54, SECTION 17, 46400 PETALING JAYA, SELANGOR.",001126838272
CROSS CHANNEL NETWORK SDN. BHD.,"47, JALAN MERANTI 1, SEK. 3, BANDAR UTAMA BATANG KALI, 44300 BATANG KALI, SELANGOR.",001151500288
SECRET RECIPE RESTAURANT,"LOT G16, PERMAS JAYA JUSCO",000260571136
BOON SENG PAPER SDN BHD,"12, JALAN BUNGA TANJUNG, 2/16 SEKSYEN 2, 40000 SHAH ALAM, SELANGOR",001005957120
KEDAI PAPAN YEW CHUAN,"LOT 276 JALAN BANTING 43800 DENGKIL, SELANGOR.",000781500416
PRINT EXPERT SDN BHD,"NO 18, 20, 22, JALAN BUNGA TANJONG 2/16, 40000 SHAH ALAM, SELANGOR",000886677504
PRINT EXPERT SDN BHD,"NO 18, 20, 22, JALAN BUNGA TANJONG 2/16, 40000 SHAH ALAM, SELANGOR",000031013140
BENS INDEPENDENT GROCER SDN. BHD,"LOT 6, JALAN BATAI, PLAZA BATAI, DAMANSARA HEIGHTS 50490, KUALA LUMPUR",000243941376
THE TOAST F&B SDN BHD,"LOT 2110&2111 JALAN PERMAS UTARA BANDAR BARU PERMAS 81750,JOHOR BAHRU JOHOR",002069884928
B & BEST RESTAURANT,"NO.12,JALAN SS4C/5,PETALING JAYA SELANGOR DARUL EHSAN",001800839168
GUARDIAN HEALTH AND BEAUTY SDN BHD,"LOT B-005-006, BASEMENT LEVEL 1 THE STARLING MALL JALAN SS21/60, DAMANSARA UTAMA.",000899874816
GREAT ZONE HOUSEHOLD CENTRE SDN BHD,"60 & 62. JALAN CIKU, 86000,KLUANG",001833082880
STAR GROCER SDN BHD,"NO 4, DESA PANDAN, OFF KAMPONG PANDAN, 55100 KUALA LUMPUR",000915943424
C W KHOO HARDWARE SDN BHD,"NO.50 , JALAN PBS 14/11 , KAWASAN PERINDUSTRIAN BUKIT SERDANG,",000549584896
VIVOPAC MARKETING SDN BHD,14 JALAN MANIS 4 TAMAN SEGAR 56100 KL,000565805056
PREMIO STATIONERY SDN BHD,"NO 57, JALAN SS 3/29, 47300 PETALING JAYA, SELANGOR",001032994816
SUPER NINETY NINE SDN.BHD.,"NO.3343, GROUND FLOOR, JALAN 18/32, TAMAN SRI SERDANG, 43300 SERI KEMBANGAN,",001428234240
THONG RECIPE,"16G BLOCK B ,ZENITH CORPORATE PARK JALAN SS7/26, 47301 PETALING JAYA SELANGOR",001076076544
DE JELITA STESEN MINYAK,"JLN PERMAS 9/5, BDR PERMAS JAYA 81750, JOHOR BAHRU",000368820224
FIVE STAR CASH & CARRY,"G.23 & G.22, PLAZA SERI SETIA, NO.1 JALAN SS 9/1, 47300 PJ, SELANGOR.",000610435072
GREEN LANE PHARMACY SDN BHD,"33 JLN BANGAU 1,KEPONG BARU, 52100 KEPONG,KL",001888309248
SOUP & PORRIDGE,"LOT S10NB & S12NB, RESTORAN JEJANTAS SG. BULOH, ARAH UTARA, PLUS BERHAD.",000613912576
KOH SENG HARDWARE,"NO. 939, BATU LIMA, JALAN IPOH, 51200 KUALA LUMPUR.",001117650944
SKL DAMANSARA ENTERPRISE,"69G, JALAN SS21/60, DAMANSARA UTAMA, 47400 PETALING JAYA, SELANGOR.",000784498688
KEDAI BUKU NEW ACHEIVERS,"NO. 12 & 14, JALAN JINJANG 27/54 TAMAN ALAM MEGAH, SEKSYEN 27 40400 SHAH ALAM, SELANGOR D. E.",001729572864
TSH POWER HARDWARE TRADING,"13-1, JALAN PJU 5/10, DATARAN SUNWAY, KOTA DAMANSARA, 47810, PETALING JAYA, SELANGOR",000460664832
LA STATIONERY SDN BHD,SRI RAMPAI,001542721536
AIK HUAT HARDWARE ENTERPRISE (SETIA ALAM) SDN BHD,"NO. 17-G, JALAN SETIA INDAH (X) U13/X, SETIA ALAM, SEKSYEN U13, 40170 SHAH ALAM,",000394528768
SUPER TERMINAL SDN BHD,"NO. 18 & 19, TAMAN CITY, JALAN KUCHING, 52100 KUALA LUMPUR",000180269056
MODERN DEPOT SDN BHD,"NO.19, PT18685, JALAN JAMBU MELAKA 2, JINJANG SELATAN, KEPONG.",002098102272
BUY SELL TRADE SDN. BHD.,"2 & 2A, JALAN KASUARINA 1/KS 7, BANDAR BOTANIK, 41200 KLANG, SELANGOR",001869250560
HENG KEE DELIGHTS BAK KUT TEH.,"NO31 , JALAN 3/62A , BANDAR MENJALARA KEPONG. 52100 KUALA LUMPUR",000403890176
KAISON FURNISHING SDN BHD,"LOT NO. L3-012, LEVEL 3, MYTOWN SHOPPING CENTRE, NO. 6, JALAN COCHRANE, SEKSYEN 90 55100 KUALA LUMPUR.",001813975040
ROYALTEA,"NO. 23, JALAN SUTERA TANJUNG 8/3, TAMAN SUTERA UTAMA 81300 SKUDAI JOHOR,MALAYSIA.",000344043520
THE CUT STEAKHOUSE &BURGERS,"LOT L1-4 STAR AVENUE MALL JALAN ZUHAL U5/179 SEKSYEN U5 PUSAT KOMERSIAL ARENA BINTANG 40150 SHAH ALAM, SELANGOR",000974557184
FAMILYMART,"NO 16A, JALAN ASTAKA U8/83, BUKIT JELUTONG, 40150 SHAH ALAM, SELANGOR, D.E.",000468594688
IMAGE PRINTEC (M) SDN BHD,"NO. 12A-G, JALAN WANGSA DELIMA 11, D""WANGSA WANGSA MAJU, 53300 KUALA LUMPUR.",001241862144
AA PHARMACY,"NO.47, JALAN 3/36, BUKIT SRI BINTANG, KEPONG 52100, KUALA LUMPUR",001930047488
MY MYDIN SDN BHD,"NO 13, 15, 17 & 19 JALAN NOVA Q U5/Q, SEKSYEN U5, SUBANG BESTARI 40150 SHAH ALA SELANGOR DARUL EHSAN",001400971264
OLIVE9 PHARMACY SDN BHD,"69 JALAN NOVA U5/N, SEKSYEN U5 SUBANG BE",000988880896
LAVENDER CONFECTIONERY & BAKERY S/B,"LOT G29 & G30, AEON MALL TEBRAU CITY, NO. 1, JALAN DESA TEBRAU, TAMAN DESA TEBRAU, 81100 JOHOR BAHRU.",001872379904
CHEF LEE SDN BHD,"LG226, LGF, 1 UTAMA SHOPPING CENTRE, LEBUH BANDAR UTAMA, 47800 PETALING JAYA.",001406865408
CHECKERS HYPERMARKET SDN BHD (JALAN KLANG LAMA),"LOT 2942 & 2945, JLN SERI SENTOSA 8, SERI SENTOSA, OFF JLN KLANG LAMA, 58000 KUALA LUMPUR.",002013487104
LEONG HENG SHELL SERVICE STATION,"LOT 26151 BANDAR SG LONG, 11 1/4 MILES CHERAS, 43000 KAJANG, SELANGOR",001934041088
ONE ONE THREE SEAFOOD RESTAURANT SDN BHD,"NO.1, TAMAN SRI DENGKIL, JALAN AIR HITAM 43800 DENGKIL, SELANGOR.",000670224384
THREE STOOGES,"109, SS21/1A, DAMANSARA UTAMA",001661886464
RESTORAN IBRAHIM MAJU SB,"NO.2, GROUND FLOOR, JALAN REKO SENTRAL 8 TAMAN REKO SENTRAL, 43000 KAJANG SELANGOR DE",000696532992
COSWAY (M) SDN BHD,"2ND FLOOR, WISMA COSWAY, JALAN RAJA CHULAN, 50200 KUALA LUMPUR, MALAYSIA.",000743903232
KFA SUPPLY,125A TINGKAT BAWAH PT 1961 JALAN MALINJA SITE B 45400 SEKINCHAN SELANGOR,002126950400
BEYOND BROTHERS HARDWARE,"LOT 1-0-2, JLN 1/50, DIAMOND SQUARE, OFF JLN GOMBAK 53000 KUALA LUMPUR",001921974272
ADVANCO COMPANY,"NO 1&3, JALAN WANGSA DELIMA 12, WANGSA LINK, WANGSA MAJU, 53300 KUALA LUMPUR",001658445824
IKANO HANDEL SDN BHD,NO 2A JALAN COCHRANE TAMAN MALURI 55100 KUALA LUMPUR,000115154944
ARTRANGE STATIONERS & PRINT SDN BHD,44 JALAN SS21/58 DAMANSARA UTAMA 47400 PETALING JAYA,001725239296
LIGHTROOM GALLERY SDN BHD,"NO: 28, JALAN ASTANA 1C, BANDAR BUKIT RAJA, 41050 KLANG SELANGOR D.E, MALAYSIA",000584089600
YONG SOON FATT S/B,"LOT 1504, BATU 8 1/2, JALAN KLANG LAMA, 46000 PETALING JAYA, SELANGOR.",000788250624
BEST DENKI MALAYSIA,"LOT LG 26, SUBANG PARADE NO.5, JALAN SS16/1 47500 SUBANG JAYA, SELANGOR",001348681728
HAI-O RAYA BHD,"LOT 11995, BATU 2, JALAN KAPAR 41400 KLANG, SELANGOR",001600892928
BILLION SIX ENTERPRISE,"NO 3, JALAN TAMAN JASA 2, SECTION U6, 40150 SHAH ALAM.",000944312320
FILL IN ENTERPRISE,"LOT 2407, JALAN DUA 52100 KEPONG BARU, KL",001229619200
ANZEL ADVERTISING (M) SDN BHD,"UNIT G-5B, GROUND FLOOR, WISMA UOA II, NO 21, JALAN PINANG, 50450 KUALA LUMPUR, MALAYSIA",002121732096
MEGAH RETAIL SDN BHD,"3-7, GROUND FLOOR, JLN PURTA DENGKIL 1 TMN PUTRA DENGKIL 43800 DENGKIL, SELANGOR DARUL EHSAN",000936312832
KEDAI UHAT DAN RUNCIT CHONG HWA,"3, JALAN PERDANA 5, TAMAN INDAH PERDANA, KEPONG, 52100 KL.",001379917824
TASTE OF THE WORLD SDN BHD,"LOT 38, 39 101 BOULEVARD, JALAN KENARI 5, BANDAR PUCHONG JAYA, 47170 PUCHONG, SELANGOR",000136577024
DION REALTIES SDN BHD,"MENARA DION #02-03, LEVEL 2, 27, JALAN SULTAN ISMAIL, 50250 KUALA LUMPUR.",000850247680
LITTLE CRAVINGS SDN BHD,"HQ: 7, JLN SS21/34, 47400 PJ",001382293504
DION REALTIES SDN BHD,"MENARA DION #02-03, LEVEL 2, 27, JALAN SULTAN ISMAIL, 50250 KUALA LUMPUR.",000650247680
SIN THYE & COMPANY,"NO.54, BATU 5,JALAN IPOH, KG.BATU, 51200 KUALA LUMPUR",001329332224
MR. D.I.Y. SDN BHD,"LOT 1851-A & 1851-B, JALAN KPB 6, KAWASAN PERINDUSTRIAN BALAKONG, 43300 SERI KEMBANGAN, SELANGOR",001092886528
PASARAYA CINWA SDN BHD,"NO.6,8, 10& 12 JALAN PERMAS 4/3 BANDAR BARU PERMAS JAYA, 81750 JOHOR BAHRU,JOHOR.",000931172352
TF VALUE-MART SDN BHD,JALAN TRAS BATU 1 28700 BENTONG PAHANG DARUL MAKMUR.,000184401920
LEE WAH FLORIST SDN BHD,"129, JALAN TUN H.S LEE, 50000 KUALA LUMPUR.",001011499008
ECO-SHOP MARKETING SDN BHD,"LOT F1-01, 6, JALAN 8/27A, SEKSYEN 5 WANGSA MAJU, 53300 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR, MALAYSIA.",000313901056
MIZU MENTAI SDN. BHD.,"NO: 1-1&2 GROUND FLOOR, JLN TEMENGGUNG 13/9, 43200 CHERAS SELANGOR",001375580160
FOUR QUARTERS SDN BHD,NO.128G JLN SS21/35 DAMANSARA UTAMA PETALING JAYA 47400 SELANGOR,001716617216
SKCA HARDWARE & TIMBER SDN. BHD.,"LOT 204 & 205, JALAN BATU 12 1/4, KG. DUSUN NANDING, 43100 HULU LANGAT, SELANGOR DARUL EHSAN.",001828540416
ZEN AND COFFEE 28 S/B,"NO 53, JALAN 3/62A, BANDAR MENJALARA, 52200 KUALA LUMPUR.",001363259392
DI HUAN YA RESTAURANT,"5,JALAN PERMAS 10/5, BANDAR BARU PERMAS JAYA, 81750 JOHOR BAHRU,JOHOR",001914093568
AA PHARMACY,"B-8, JALAN SS15/4D, 47500 SUBANG JAYA, SELANGOR",001536708608
RESTORAN WAN SHENG,"NO.2, JALAN TEMENGGUNG 19/9, SEKSYEN 9, BANDAR MAHKOTA CHERAS, 43200 CHERAS, SELANGOR",001355787520
HOME MASTER HARDWARE & ELECTRICAL,"NO.113G & 115G, JALAN SETIA GEMBILANG U13/BG BANDAR SETIA ALAM, 40170 BANDAR SETIA ALAM, SELANGOR.",001637511168
OGN GROUP SDN BHD,"NO.29M, JALAN DINAR G U3/G, SEKSYEN U3, SUBANG PERDANA, 40150 SHAH ALAM",002077622272
KMF FOODICIOUS SDN BHD,"NO. 9-G, JALAN PERUBATAN 2, PANDAN INDAH, 55100 KUALA LUMPUR.",000897208320
ANN GIAP TRADING SDN BHD,"NO. 135, JALAN BANGI, 43500 SEMENYIH, SELANGOR",000436633600
LIAN HING STATIONERY SDN BHD,"NO.32 & 33, JALAN SR 1/9, SEKSYEN 9, TAMAN SERDANG RAYA, 43300 SERI KEMBANGAN, SELANGOR DARUL EHSAN",002139201536
TONYMOLY VIVA CITY,"UNIT L1-044B, VIVACITY MEGAMALL, JALAN WAN ALWI, 93350 KUCHING, SARAWAK.",000349356032
KT WONG TRADING,"22, JALAN PERINDUSTRIAN HIJAU 5, TAMAN PERINDUSTRIAN HIJAU,",000613294080
ASIA MART,"NO.23 BATU 10, TAMAN SENTOSA, JALAN KAPAR, 42200 KLANG, SELANGOR.",001609584640
GHEE HIANG GH DISTRIBUTOR & MARKETING SDN BHD,"95, BEACH ROAD, 10300 PENANG. 10400 PENANG.",001315377152
ENW HARDWARE CENTRE (M) SDN. BHD.,"NO: G3, BLK G, JLN PJU 1A/3, ARA DAMANSARA, 47301 PETALING JAYA, SELANGOR DARUL EHSAN.",000155453440
PASAR MINI JIN SENG,"379, JALAN PERMAS SATU, BANDAR BARU PERMAS JAYA 81750 PLENTONG, JOHOR.",000150511616
EIGHT OUNCE COFFEE CO.,"F.K06, FIRST FLOOR, THE GARDENS MALL, MID VALLEY CITY, LINGKARAN SYED PUTRA, 59200 KUALA LUMPUR.",002063339520
SELASIH EKSLUSIF SDN BHD,88 JALAN IBRAHIM SULTAN STULANG LAUT 80300 JOHOR BAHRU,000752517120
"BERRY""S CAKE HOUSE","NO.1, JLN PUTERI 1/6, BANDAR PUTERI, 47100 PUCHONG, SELANGOR",001287233536
GL HANDICRAFT & TAII ORING,"19, JALAN KANCIL, OFF JALAN PUDU, 55100 KUALA LUMPUR MALAYSIA",001948532736
ELITETRAX MARKETING SDN BHD,"LOT 1F-01&02,1ST FLR,PARADIGM MALL, NO. 1 JALAN SS 7/26A, KELANA JAYA, 47301 PETALING JAYA",000551006208
BROADVIEW MARKETING SDN BHD,"NO. 9-G, JALAN DINAR D U3/D TAMAN SUBANG PERDANA, SEK,U3, 40150 SHAH ALAM,SELANGOR D.E.",000203587584
SANG KEE CHERAS RESTAURANT,"69, JALAN TEMENGGUNG 3/9 BANDAR MAHKOTA CHERAS 43200 CHERAS SELANGOR",001226018816
"WATSON""S PERSONAL CARE STORES SDN BHD","USJ SUMMIT, SUBANG (SS)",000947339264
ECOSWAY.COM SDN BHD,"2ND FLOOR, WISMA COSWAY, JALAN RAJA CHULAN, 50200 KUALA LUMPUR, MALAYSIA.",000212623360
TRI SHAAS SDN BHD,"4-20, JALAN RIA 25/62 TAMAN SRI MUDA SEKSYEN 25, 40400 SHAH ALAM SELANGOR",000429166592
PROSPER NIAGA,"LOT PT 1138 ,PT 33122, BANDAR MAHKOTA CHERAS 43200 CHERAS, SELANGOR",000534347776
DIGI TELECOMMUNICATIONS SDN BHD,"LOT LG 315, 1-UTAMA SHOPPING CENTRE, LEBUH BANDAR UTAMA-BANDAR UTAMA, PETALING JAYA, 47800 SELANGOR",001211957248
CARREFOUR RESTAURANT,"18,JALAN PERMAS 10/7 BANDAR BARU PERMAS JAYA, MASAI,JOHOR",000433614848
PERNIAGAAN ZHENG HUI,NO.59 JALAN PERMAS 9/5 BANDAR BARU PERMAS JAYA 81760 JOHOR BAHRU,000800589824
FTOF NOODLE HOUSE,"NO.25, JALAN METRO PERDANA BARAT 2, TAMAN USAHAWAN KEPONG, KEPONG UTARA, 52100 KUALA LUMPUR.",001927782400
RAPID RAIL SDN BHD,"NO.1 JALAN PJU 1A/46, OFF JALAN LAPANGAN TERBANG SUBANG PETALING JAYA SELANGOR 47301",001345261568
ZAWIAJAYA FOOD N BEVERAGE SDN BHD,"106-107, LEVEL 1 THE MINES MALL SERDANG SRI KEMBANGAN, 43300 SELANGOR DARUL EHSAN.",001685499904
FARMASI MALURI S/B,"23, JIN BURUNG JENTAYU, TMN BUKIT MALURI, KEPONG, 52100 KL.",000342237184
R&C VENTURE SDN BHD,"LOT-18A-2, BERJAYA TIMES SQUARE, KUALA LUMPUR.",001557721088
THE STORE (MALAYSIA) SDN BHD,"LOT 34817 JALAN BATU AMBAR TAMAN KOK LIAN 51200 KUALA LUMPUR,",000364929024
PASARAYA JALAL SDN BHD,"10-18,JLN KEBUDAYAAN 16,TMN U 81300 JOHOR BAHRU.",000902660096
ELKEN SERVICE SDN BHD,NO 2-1 JALAN 3/137B BATU 5 JALAN KELANG LAMA 58000 KUALA LUMPUR,000154042368
THE ROTI MAN BAKERY,"117, JALAN RADIN BAGUS, SRI PETALING",000292065280
ASO ELECTRICAL TRADING SDN BHD,"NO 31G, JALAN SEPADU C 25/C, SECTION 25, TAMAN INDUSTRIES, AXIS 40400 SHAH ALAM, SELANGOR.",000683900928
PASAR RAYA MEGA MAJU (SEMENYIH) SDN BHD,"NO 24, 25 & 26, JALAN PUSAT PERNIAGAAN BUNGA RAYA 4, PUSAT PERNIAGAAN BUNGA RAYA,",000746659840
IN-SPARKLE TRADING SDN BHD,"NO.LOT 24, BATU 11 KAMPUNG DATO, UJANG BALAKONG, 43200 CHERAS, SEL.",001429012480
DIMILIKI OLEH T PLUS F&B SDN. BHD.,"PARADIGM MALL LOT NO.: 4F-27 & 4FK-38, 4TH FLOOR",000707211264
SAM SAM TRADING CO,"67,JLN MEWAH 25/63 TMN SRI MUDA, 40400 SHAH ALAM.",001006288896
BAIFU (M) SDN BHD,"DAISO JAPAN, IOI MALL",001389649920
10 GRAM GOURMET SBN BHD,"NO 3, JALAN TEMENGGUNG 27/9 BANDAR MAHKOTA CHERAS, 43200 SELANGOR.",002055098368
32 PUB & BISTRO OWN BY CNU TRADING,"78G, JALAN SS21/62, DAMANSARA UTAMA, 47400 PETALING JAYA.",000416321536
WAHIN HARDWARE SDN BHD,"425, JALAN PAHANG, SETAPAK, 53000 KUALA LUMPUR.",000048898048
MPH BOOKSTORES SDN BHD,"LOT S319, 2ND FLOOR, 1 UTAMA SHOPPING CENTRE, NO1, LEBUH BANDAR UTAMA,47800 P.JAYA",000542572544
OCEAN LC PACKAGING ENTERPRISE,"41-1, JLN RADIN ANUM 2, SRI PETALING, 57000 KUALA LUMPUR.",000945983488
TRENDYMAX (M) SDN. BHD.,"P6, BLOCK C, GM KLANG WHOLESALE CITY, JALAN KASUARINA 1, 41200 KLANG, SELANGOR D.E.",000384098304
FARMASI LIGAMAS,"NO. 47, JALAN MERANTI 1A, BANDAR BARU UTAMA, 44300 BATANG KALI, SELANGOR.",001805213696
KHIAM AIK CHAN SDN BHD,"NO. 76, JALAN SS15/4B, 47500 SUBANG JAYA, SELANGOR D.E.",000555819008
MENTAI INITIAL SDN BHD,"NO.37-1, PLAZA DANAU DESA 2, JALAN 109F, TAMAN DANAU DESA, 58100 KUALA LUMPUR.",000435761152
IDEAL MENU GROUP SDN BHD,"31,31A, JALAN HANG TUAH 9, TAMAN SKUDAI BARU, 81300 SKUDAI, JOHOR",001707421696
VERBENA CONFECTIONERY SDN BHD,"1, JALAN SUTERA TANJUNG 8/4, TMN SUTERA UTAMA, 81300 SKUDAI, JB.",001837056000
BHPETROL PERMAS JAYA 2,"LOT PTD 101051 JALAN PERMAS 10/10 81750 MASAI, JOHOR",000153358336
HERO DISTRIBUTION SDN BHD,"4243,COMPLEKS PERNIAGAAN SRI GAYA, JLN TMN SUBANG JASA 3, 40150 SELANGOR",001627654144
BHPETROL SUBANG AIRPORT,JALAN LAPANGAN TERBANG SUBANG 47200 SUBANG SELANGOR,000768122880
THE MARCO POLO KITCH BUKIT INDAH,"NO 35,JALAN INDAH 15/2,BUKIT INDAH 81200 JOHOR BAHRU,JOHOR",001403346944
AMPANG 210 FIRST CITY PARKING SDN BHD,"A-09-10 PRIMA AVENUE THE TUBE, 1/39, DATARAN PRIMA 47301 PETALING JAYA SELANGOR DE",001656262656
